crop_type,soil_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,NDVI_index,region,recommended_irrigation_mm
Cotton,Black soil,51.83,7.22,30.61,91.79,40.51,0.553,Telangana,83
Groundnut,Forest and Mountain soil,85.39,6.8,23.18,307.08,85.63,0.712,Punjab,0
Lentil,Black soil,45.33,7.37,20.86,61.82,56.27,0.4,Bihar,54.33
Tomato,Alluvial soil,47.92,6.41,25.14,54.71,57.72,0.716,Tamil Nadu,112.14
Rice,Forest and Mountain soil,71.89,7.23,25.81,296.6,92.65,0.709,Haryana,0
Pumpkin,Red and Yellow soil,77.31,7.65,25.93,377.69,77.71,0.933,Tamil Nadu,0
Tomato,Red and Yellow soil,58.65,6.78,31.82,81.67,63.59,0.694,Maharashtra,112.31
Chickpea,Black soil,72.89,7.63,18.53,366.94,78.24,0.843,Punjab,0
Cucumber,Forest and Mountain soil,57.33,6,25.46,152.1,80.13,0.766,Haryana,0
Lentil,Black soil,52.78,6.86,31.75,99.13,54.35,0.617,Madhya Pradesh,31.11
Potato,Red and Yellow soil,59.93,6.1,23.43,207.38,75.51,0.654,Gujarat,0
Cauliflower,Black soil,82.76,6.47,23.45,203.94,79.62,0.735,Uttar Pradesh,0
Lentil,Forest and Mountain soil,50.8,7.55,19,125.56,66.93,0.738,Madhya Pradesh,0
Cotton,Alluvial soil,54.15,6.72,27.09,127.58,63.93,0.617,Tamil Nadu,81.25
Chickpea,Black soil,51.67,7.89,18.79,51.66,49.21,0.454,Rajasthan,61.47
Lentil,Red and Yellow soil,30.47,6.61,22.3,20,55.28,0.497,Chhattisgarh,85.56
Garlic,Alluvial soil,65.83,7.05,22.68,164.6,81.89,0.735,Haryana,0
Maize,Forest and Mountain soil,47.81,6.24,19.89,119.89,65.87,0.73,Haryana,106.51
Cotton,Forest and Mountain soil,76.99,6.32,22.61,201.4,82.42,0.919,Haryana,0
Cucumber,Red and Yellow soil,40,6.17,28.12,69.48,70.63,0.592,Karnataka,139.19
Chickpea,Black soil,57.19,7.6,19.46,99.71,55.09,0.872,Madhya Pradesh,0
Chickpea,Red and Yellow soil,47.46,7.45,26.86,137.3,72.86,0.839,Karnataka,0
Tomato,Red and Yellow soil,63.54,6.56,19.55,211.91,84.19,0.654,Tamil Nadu,0
Onion,Red and Yellow soil,43.9,6.01,26.23,20,50.42,0.666,Karnataka,123.05
Cauliflower,Forest and Mountain soil,53.35,6.28,22.02,71.58,80.77,0.854,Odisha,131.7
Cotton,Black soil,87.88,6.95,28.47,317.43,83.79,0.768,Tamil Nadu,0
Tomato,Alluvial soil,60.48,7.77,21.84,201.54,70.11,0.752,Haryana,0
Cotton,Forest and Mountain soil,46.11,7.76,20.31,153.53,64.73,0.856,Bihar,0
Pumpkin,Forest and Mountain soil,89.11,7.62,19.49,274.04,76.59,0.717,Bihar,0
Mustard,Alluvial soil,89.06,6.99,28.04,242.37,82.94,0.727,West Bengal,0
Potato,Alluvial soil,87.43,7.11,20.55,304.21,84.82,0.78,Tamil Nadu,0
Potato,Red and Yellow soil,64.21,6.51,20,125.48,60.67,0.741,Tamil Nadu,0
Chilli,Red and Yellow soil,44.09,6.02,23.93,120.21,64.95,0.699,Odisha,111.96
Onion,Alluvial soil,51.79,6.69,30.96,91.4,46.56,0.783,Karnataka,92.36
Soybean,Red and Yellow soil,48.24,6.83,25.49,84.27,68.11,0.735,Bihar,0
Lentil,Black soil,39.14,7.26,16.4,79.97,59.19,0.481,Maharashtra,52.46
Cotton,Forest and Mountain soil,51.84,6.84,24.38,141.76,56.05,0.808,Tamil Nadu,0
Wheat,Forest and Mountain soil,43.46,6.99,15.76,59.89,57.95,0.667,Tamil Nadu,114.89
Soybean,Alluvial soil,58.62,7.8,26.39,101.53,64.59,0.721,West Bengal,0
Mustard,Alluvial soil,36.67,6.68,19.36,73.21,57.44,0.49,West Bengal,53.77
Soybean,Black soil,58,7.44,30.65,107.32,56.33,0.699,Gujarat,79.53
Sugarcane,Alluvial soil,71.71,7.57,26.76,161.87,68.62,0.89,Tamil Nadu,210.88
Onion,Red and Yellow soil,77.33,7.8,20.1,288.37,94.95,0.911,Punjab,0
Cucumber,Red and Yellow soil,48.23,6.96,22.03,78.04,78.8,0.691,Bihar,129.06
Mustard,Alluvial soil,43.73,6.67,16.89,73.55,56.92,0.525,Gujarat,49.41
Wheat,Black soil,58.86,7.42,27.38,131.02,55.59,0.787,Maharashtra,0
Groundnut,Forest and Mountain soil,46.72,7.69,25.17,109.47,56.33,0.895,Haryana,0
Lentil,Black soil,45.38,7.41,18.67,28.88,52.64,0.625,Jharkhand,60.23
Brinjal,Red and Yellow soil,89.29,6.36,19.2,248.26,76.46,0.719,Madhya Pradesh,0
Mustard,Alluvial soil,55.75,6.46,24.2,122.12,63.09,0.71,Tamil Nadu,0
Mustard,Black soil,94.22,6.84,27.57,228.73,94.91,0.941,West Bengal,0
Wheat,Alluvial soil,53.19,7.04,17.7,103.44,59.89,0.629,Haryana,88.07
Soybean,Red and Yellow soil,47.97,6.02,24.42,106.12,73.68,0.855,Uttar Pradesh,0
Cauliflower,Forest and Mountain soil,70.03,6.36,21.62,84.38,86.51,0.731,Madhya Pradesh,118.34
Mustard,Alluvial soil,23.49,7.35,20.62,58.52,38.61,0.506,Rajasthan,64.41
Maize,Forest and Mountain soil,58.79,6.12,28.09,152.02,69.37,0.81,Punjab,0
Chickpea,Alluvial soil,48.81,6.7,25.43,164.49,55.68,0.893,West Bengal,0
Brinjal,Red and Yellow soil,91.95,6.24,28.12,230.77,87.23,0.788,Madhya Pradesh,0
Tomato,Alluvial soil,54.02,6.83,19.95,115.32,70.01,0.889,Uttar Pradesh,90.73
Sugarcane,Black soil,66.4,7.14,28.93,250.39,80.65,0.655,Karnataka,183.03
Pumpkin,Alluvial soil,50.85,6.66,26.41,108.02,72.41,0.68,Telangana,110.19
Cucumber,Black soil,68.5,7.34,21.1,207.68,70.71,0.821,Punjab,0
Mustard,Alluvial soil,47.74,6.04,27.79,100.97,60.16,0.844,Bihar,0
Sugarcane,Alluvial soil,83.24,6.85,26.8,234.67,90.77,0.666,Bihar,185.79
Cabbage,Red and Yellow soil,74.11,7.53,25.25,317.97,92.43,0.945,Gujarat,0
Garlic,Alluvial soil,45.47,7.03,22.74,120.66,47.85,0.578,Madhya Pradesh,83.85
Chickpea,Alluvial soil,49.02,7.6,19.44,97.53,61.76,0.715,Karnataka,58.81
Rice,Alluvial soil,72.22,6.84,25.79,302.3,89.61,0.917,Punjab,0
Groundnut,Alluvial soil,47.96,6.63,29.47,64.26,56.35,0.588,Karnataka,97.04
Cotton,Black soil,93.32,7.17,29.05,305.69,89.48,0.789,West Bengal,0
Pumpkin,Red and Yellow soil,55.06,6.55,27.79,247.84,78.9,0.687,Tamil Nadu,0
Chickpea,Alluvial soil,60.24,7.43,23.14,149.94,64.65,0.796,Karnataka,0
Garlic,Black soil,68.42,7.61,22.36,142.6,78.92,0.891,Haryana,0
Cotton,Red and Yellow soil,51.51,6.2,32.28,45.6,52.93,0.689,Rajasthan,125.41
Maize,Alluvial soil,59.72,6.95,26.32,55.88,71.95,0.764,Rajasthan,112.39
Cucumber,Red and Yellow soil,61.92,6.3,29.06,224.11,77.46,0.69,Madhya Pradesh,0
Wheat,Black soil,51.17,7.8,19,90.81,54.04,0.61,Haryana,102.82
Cucumber,Alluvial soil,57.15,6.64,23.66,105,72.11,0.615,West Bengal,107.79
Chilli,Alluvial soil,64.53,6.05,26.94,124.42,73.57,0.639,West Bengal,0
Brinjal,Red and Yellow soil,52.9,7.02,27.18,104.59,59.53,0.811,Bihar,23.58
Cucumber,Red and Yellow soil,57.09,5.7,28.55,112.17,66.15,0.663,Gujarat,118.48
Onion,Red and Yellow soil,44.59,6.33,21.18,20,54.53,0.66,Rajasthan,120.61
Cauliflower,Black soil,77.03,7.29,17.2,40.06,56.57,0.73,Assam,118.44
Tomato,Alluvial soil,49.97,6.56,28.43,115.04,69.96,0.609,Maharashtra,97.48
Soybean,Forest and Mountain soil,50.36,7.72,26.08,98.61,67.26,0.61,Tamil Nadu,0
Brinjal,Forest and Mountain soil,48.13,6.07,25.19,83.67,59.36,0.657,Haryana,29.56
Rice,Black soil,66.73,6.04,22.83,125.47,69.55,0.629,Maharashtra,6.19
Cauliflower,Alluvial soil,87.45,6.99,21.9,368.92,89.85,0.832,Haryana,0
Chilli,Black soil,53.66,6.83,18.35,91.51,67.87,0.821,West Bengal,23.17
Pumpkin,Forest and Mountain soil,68.56,6.76,27.36,135.24,80.94,0.855,Tamil Nadu,0
Cabbage,Black soil,73.4,7.35,19.04,264.86,81.84,0.892,Tamil Nadu,0
Cucumber,Red and Yellow soil,59.84,5.97,26.53,84.54,61.81,0.55,Karnataka,122.73
Cucumber,Red and Yellow soil,69.91,7.26,25.51,132.69,74.82,0.698,Uttar Pradesh,0
Wheat,Black soil,57.06,6.37,22.21,87.05,61.06,0.735,Maharashtra,0
Cabbage,Alluvial soil,60.75,5.8,18.44,30,83.3,0.704,Assam,137.93
Sugarcane,Red and Yellow soil,58.5,6.74,29.46,279.03,76.4,0.868,Punjab,210.87
Cabbage,Red and Yellow soil,48.73,6.43,13.95,107.67,74.47,0.62,Odisha,133.93
Cauliflower,Black soil,66.04,7.8,18.5,116.31,76.98,0.681,Punjab,106.5
Cucumber,Black soil,57.11,7.18,27.15,111.57,71.76,0.77,Bihar,102.91
Sugarcane,Black soil,71.8,7.38,32.43,136.32,68.54,0.612,Bihar,210.06
Garlic,Red and Yellow soil,56.38,6.76,18.08,196.43,81.81,0.845,Madhya Pradesh,0
Cucumber,Alluvial soil,74.18,7.18,18.67,255.96,75.01,0.89,Tamil Nadu,0
Cotton,Red and Yellow soil,51.71,6.64,30.52,116.95,61.23,0.773,Punjab,0
Cotton,Red and Yellow soil,56.38,6.81,18.15,169.19,62.28,0.658,Maharashtra,0
Garlic,Alluvial soil,50.02,6.74,25.54,85.18,67.35,0.842,Maharashtra,0
Cabbage,Alluvial soil,63.55,6.38,24.6,103.12,60.63,0.55,Karnataka,120.43
Cucumber,Red and Yellow soil,56.62,6.16,35.67,152.24,76.4,0.769,West Bengal,112.31
Mustard,Black soil,49.79,6.12,28.76,85.99,64.09,0.705,Bihar,0
Rice,Black soil,58.52,6.11,28.91,140.85,65.78,0.769,Haryana,0
Chickpea,Black soil,73.17,6.69,26.51,296.62,88.29,0.787,West Bengal,0
Wheat,Alluvial soil,52.04,6.8,17.35,51.9,75,0.8,Bihar,104.62
Groundnut,Red and Yellow soil,91.74,7.22,18.97,322.53,90.63,0.897,Tamil Nadu,0
Rice,Black soil,60,7.8,31.06,176.82,60,0.736,Maharashtra,176.93
Sugarcane,Forest and Mountain soil,94.27,7.45,19.22,316.94,81.65,0.726,Maharashtra,0
Potato,Alluvial soil,59.55,5.87,14.43,72.66,53.91,0.711,Karnataka,99.18
Lentil,Alluvial soil,48.58,6.75,20.68,43.71,44.52,0.599,Uttar Pradesh,61.27
Onion,Alluvial soil,56.67,6.52,23.28,59.26,57.15,0.548,Rajasthan,94.4
Mustard,Alluvial soil,35.41,6.91,21.69,46.29,30.51,0.565,Uttar Pradesh,61.83
Maize,Forest and Mountain soil,62.01,7.47,21.96,96.73,65.63,0.685,Madhya Pradesh,0
Maize,Black soil,47.03,6.96,26.83,126.54,65.97,0.733,Maharashtra,0
Cotton,Black soil,86.04,7.72,29.79,263.92,90.14,0.934,Bihar,0
Cotton,Forest and Mountain soil,50.61,7.15,27.33,124.48,63.06,0.848,Tamil Nadu,0
Cauliflower,Alluvial soil,57.34,6.52,19.15,106.26,72.11,0.609,Bihar,124.49
Garlic,Alluvial soil,49.32,6.58,18.94,74.67,44.17,0.571,Uttar Pradesh,91.52
Sugarcane,Alluvial soil,80.58,6.99,28.82,353.19,81.28,0.688,Karnataka,0
Groundnut,Red and Yellow soil,37.16,6.44,23.45,30,61.65,0.629,Madhya Pradesh,119.68
Cabbage,Red and Yellow soil,54.53,6.92,15.04,76.58,55,0.671,Assam,138.65
Mustard,Red and Yellow soil,54.83,6.44,21.36,126.58,67.65,0.851,Maharashtra,0
Onion,Black soil,55.12,7.14,29.52,127.82,53.9,0.611,Madhya Pradesh,75.68
Sugarcane,Red and Yellow soil,64.14,6.14,29.26,214.74,82.94,0.715,Andhra Pradesh,223.46
Cotton,Alluvial soil,52.97,6.38,24.58,149.15,66.55,0.88,Madhya Pradesh,0
Cucumber,Forest and Mountain soil,59.15,6.17,23.54,86.79,59.99,0.725,Haryana,22.93
Soybean,Alluvial soil,51.66,7.66,26.93,176.66,70.66,0.86,West Bengal,0
Potato,Red and Yellow soil,59.59,5.76,24.18,139.47,64.14,0.652,Assam,96.35
Mustard,Forest and Mountain soil,58.71,6.24,26.04,105.47,58.14,0.848,Uttar Pradesh,0
Lentil,Black soil,45.34,6.38,29.56,79.85,55.84,0.754,Bihar,38.03
Cauliflower,Black soil,83.76,6.48,20.23,346.49,85.61,0.665,Uttar Pradesh,0
Groundnut,Forest and Mountain soil,93.01,7.55,26.63,283.69,85.62,0.714,Tamil Nadu,0
Groundnut,Red and Yellow soil,38.59,6.74,24.88,108.14,74.96,0.741,Tamil Nadu,99.87
Rice,Black soil,86.9,7.27,18.13,324.72,86.51,0.828,West Bengal,0
Potato,Alluvial soil,60.19,6.59,21.2,93.61,46.29,0.614,Karnataka,96.26
Cotton,Alluvial soil,72.7,6.81,22.47,228.37,92.37,0.803,Bihar,0
Rice,Alluvial soil,89.96,6.39,18.68,291.45,88.38,0.767,Haryana,0
Brinjal,Red and Yellow soil,94.48,7.49,18.49,328.96,79.5,0.856,Uttar Pradesh,0
Cauliflower,Alluvial soil,72.04,7.05,27.05,267.73,79.31,0.673,Tamil Nadu,0
Brinjal,Red and Yellow soil,58.07,7.56,26.05,143.89,72.92,0.861,Karnataka,0
Rice,Forest and Mountain soil,79,6.66,21.21,271.26,90.9,0.821,Maharashtra,0
Wheat,Forest and Mountain soil,53.57,6.21,23.3,66.18,57.92,0.848,Gujarat,34.77
Groundnut,Red and Yellow soil,42.41,6.07,30.56,62.78,74.34,0.618,Chhattisgarh,111.18
Chilli,Black soil,52.23,7.55,22.32,124.24,52.35,0.562,Odisha,90.26
Sugarcane,Alluvial soil,76.5,6.73,28.09,210.8,67.81,0.74,Punjab,196.45
Cabbage,Red and Yellow soil,51.22,7.33,23.99,91.91,71.55,0.689,Haryana,0
Potato,Red and Yellow soil,55.27,6.2,18.02,133.6,78.58,0.807,Haryana,0
Pumpkin,Black soil,59.69,6.87,27.59,128.7,70.87,0.696,West Bengal,95.3
Onion,Alluvial soil,86.06,6.18,28.33,313.85,82.02,0.865,Gujarat,0
Cotton,Red and Yellow soil,53.08,6.09,26.24,102.43,70.52,0.675,Bihar,0
Lentil,Alluvial soil,87.22,6.15,26.56,235.18,84.28,0.884,Gujarat,0
Lentil,Black soil,88.22,6.26,21.25,322.89,79.39,0.94,Uttar Pradesh,0
Cabbage,Alluvial soil,86.18,6.37,24.47,331.86,83.6,0.741,Madhya Pradesh,0
Rice,Alluvial soil,65.5,7.01,27.99,169.56,74.41,0.752,Madhya Pradesh,153.06
Sugarcane,Black soil,84.1,7.29,24.27,290.66,83.97,0.705,Punjab,0
Lentil,Alluvial soil,29.43,6.88,18.17,65.69,44.11,0.56,Uttar Pradesh,65.7
Cotton,Forest and Mountain soil,84.87,6.65,22.37,279.46,89.41,0.817,Haryana,0
Cauliflower,Black soil,79.57,7.2,24.17,379.08,82.36,0.945,Gujarat,0
Cucumber,Red and Yellow soil,44.35,5.62,32.19,112.11,70.05,0.701,Andhra Pradesh,127.95
Potato,Alluvial soil,54.46,6.26,14.6,80.89,45,0.656,Assam,100.24
Lentil,Alluvial soil,42.34,6.98,17.75,103.41,41.99,0.646,Madhya Pradesh,51.57
Chickpea,Forest and Mountain soil,53.31,6.54,29.66,145.42,62.93,0.826,Karnataka,0
Mustard,Black soil,36.38,7.46,18.01,48.65,60.05,0.35,Chhattisgarh,54.65
Pumpkin,Alluvial soil,52.35,6.67,24.11,167.28,63.53,0.644,Bihar,93.33
Cotton,Red and Yellow soil,45.7,6.22,27.97,117.07,40,0.584,Telangana,109.3
Lentil,Black soil,38.15,7.01,18.61,60.18,55.41,0.559,Maharashtra,57.57
Brinjal,Forest and Mountain soil,67.18,7.27,18.8,233.93,72.43,0.894,Punjab,0
Lentil,Red and Yellow soil,46.77,7.3,23.67,140.89,65.18,0.719,Haryana,0
Maize,Alluvial soil,45.47,6.75,28.28,64.08,54.9,0.61,Rajasthan,121.29
Rice,Alluvial soil,75.91,6.68,33.11,262.23,68.48,0.76,Bihar,125.67
Tomato,Black soil,66.02,6.26,26.89,247.78,73.1,0.687,Tamil Nadu,0
Maize,Forest and Mountain soil,45.3,6.74,35,143.72,61.38,0.705,Uttar Pradesh,109.86
Pumpkin,Red and Yellow soil,61.64,6.4,24.61,163.14,79.38,0.649,Uttar Pradesh,99.03
Sugarcane,Alluvial soil,85.54,6.94,26.44,306.72,89.4,0.719,West Bengal,0
Maize,Alluvial soil,50.45,7.19,27.71,86.96,66.08,0.722,Tamil Nadu,111.8
Tomato,Black soil,77.79,7.65,23.6,349.13,75.53,0.713,Maharashtra,0
Brinjal,Forest and Mountain soil,56.3,7.61,25.55,128.92,58.56,0.793,Maharashtra,0
Sugarcane,Alluvial soil,59.7,6.94,28.79,136.88,67.99,0.73,Gujarat,9.21
Cabbage,Black soil,64.52,7.41,15.18,90.35,65.01,0.782,Uttar Pradesh,109.27
Groundnut,Forest and Mountain soil,50.14,6.5,26.34,82.76,67.35,0.651,Gujarat,0
Cabbage,Forest and Mountain soil,76.6,6.87,28.65,252.2,85.84,0.603,Gujarat,0
Cucumber,Black soil,67.16,7.02,33.16,31.64,74.12,0.776,Gujarat,119.87
Sugarcane,Black soil,68.97,7.22,31.95,167.43,71.99,0.727,Gujarat,203.74
Garlic,Alluvial soil,46.68,6.8,30.47,83.8,69.62,0.73,Karnataka,95.43
Pumpkin,Forest and Mountain soil,87.32,7.08,26.35,246.84,91.09,0.774,Maharashtra,0
Rice,Black soil,62.22,7.18,27.08,220.96,71.94,0.617,Madhya Pradesh,161.95
Potato,Alluvial soil,66.22,6.71,18.52,245.77,70.18,0.826,Karnataka,0
Garlic,Forest and Mountain soil,89.88,6.09,20.13,232.65,86.23,0.911,Madhya Pradesh,0
Tomato,Alluvial soil,59.31,7.34,30.28,199.39,82.23,0.655,Bihar,0
Garlic,Red and Yellow soil,71.35,6.83,24.74,387.53,83.45,0.788,Karnataka,0
Chilli,Alluvial soil,30.24,6.7,27.17,91.7,72.25,0.682,Tamil Nadu,119.02
Cabbage,Black soil,71.43,6.96,22.71,239.35,75.67,0.909,Punjab,0
Mustard,Alluvial soil,56.33,6.75,19.11,85.21,67.16,0.687,West Bengal,0
Lentil,Alluvial soil,52.32,7.73,30.72,95.74,59.39,0.678,Tamil Nadu,31.7
Chilli,Alluvial soil,69.1,7.14,26.81,241.24,84.5,0.878,Maharashtra,0
Cauliflower,Alluvial soil,72.85,6.67,24.8,50.69,55,0.677,Assam,131.34
Cabbage,Alluvial soil,60.63,6.13,19.71,136.39,55,0.785,Assam,111.9
Cotton,Red and Yellow soil,52.34,6.27,29.54,94.58,64.96,0.685,Gujarat,111.57
Cotton,Forest and Mountain soil,74.62,7.79,28.04,267.53,81.64,0.87,Gujarat,0
Lentil,Red and Yellow soil,51.29,6.56,29.19,102,72.77,0.785,Tamil Nadu,0
Soybean,Black soil,54.86,7.53,28.29,125.32,75.89,0.748,Telangana,75.97
Cucumber,Red and Yellow soil,54.65,7.48,25.27,131.33,63.52,0.68,Punjab,0
Mustard,Alluvial soil,30.76,6.53,23.62,74.63,30,0.531,Chhattisgarh,57.65
Cotton,Forest and Mountain soil,86.85,7.4,23.74,369.37,84.26,0.946,Maharashtra,0
Groundnut,Black soil,49.94,6.65,35.14,46.44,58.17,0.581,Karnataka,92.58
Sugarcane,Alluvial soil,75.45,7.32,20.63,224.64,76.83,0.845,Bihar,0
Mustard,Black soil,30.21,7.32,18.31,54.77,46.1,0.35,Madhya Pradesh,56.3
Soybean,Black soil,55.6,7.79,19.77,87.74,73.22,0.849,Maharashtra,0
Cucumber,Alluvial soil,66.8,6.37,24.52,216.74,67.61,0.654,Haryana,0
Soybean,Red and Yellow soil,45.45,6.56,23.55,155.96,68.19,0.73,Uttar Pradesh,97.06
Wheat,Alluvial soil,59.51,7.1,14.89,80.85,71.17,0.655,Punjab,91.19
Rice,Red and Yellow soil,88.47,7.35,19.33,282.63,78.05,0.832,Gujarat,0
Cotton,Red and Yellow soil,43.84,6.69,33.27,138.07,60.71,0.788,Andhra Pradesh,107.28
Pumpkin,Alluvial soil,66.9,6.59,22.68,207.6,83.46,0.841,Punjab,0
Cucumber,Red and Yellow soil,57.19,6.25,31.65,127.8,62.9,0.677,Telangana,116.06
Tomato,Alluvial soil,73.83,7.01,23.79,385.93,82.15,0.891,Haryana,0
Cotton,Black soil,53.07,7.37,30.45,60.97,52.51,0.713,Rajasthan,89.89
Cotton,Alluvial soil,49.62,7.15,29.24,67.83,71.76,0.667,Andhra Pradesh,99.76
Potato,Alluvial soil,59.28,6.56,21.45,77.54,52.76,0.806,Jharkhand,100.92
Chilli,Red and Yellow soil,52.77,6.57,28.55,125.62,56.06,0.863,Madhya Pradesh,107.71
Potato,Alluvial soil,64.2,5.72,20.98,114.03,63.52,0.61,West Bengal,88.66
Chickpea,Alluvial soil,41.27,7.27,22.53,41.85,46.37,0.612,Uttar Pradesh,74.76
Soybean,Black soil,56.06,7.47,27.87,138.2,57.97,0.763,Madhya Pradesh,0
Groundnut,Red and Yellow soil,32.64,6.11,27.36,120.98,61.73,0.531,Gujarat,101.21
Chickpea,Alluvial soil,83.45,7.29,20.22,366.1,89.25,0.832,Tamil Nadu,0
Chickpea,Red and Yellow soil,37.72,6.27,22.12,54.51,35,0.623,Maharashtra,83.87
Chilli,Alluvial soil,62.3,6.56,22.54,103.36,71.99,0.677,Haryana,0
Chilli,Black soil,53.39,7.03,28.47,164.35,67.5,0.689,Andhra Pradesh,82.62
Maize,Red and Yellow soil,89.75,6.88,25.71,336.78,76.62,0.723,Karnataka,0
Garlic,Red and Yellow soil,84.94,7.54,25.01,376.74,90.73,0.849,Bihar,0
Soybean,Forest and Mountain soil,60.14,6.61,24.75,95.6,61.46,0.835,Uttar Pradesh,0
Cotton,Black soil,57.13,6.73,29.36,138.18,74.43,0.643,Telangana,67.72
Potato,Red and Yellow soil,56.69,7.25,29.45,243.32,77.25,0.76,West Bengal,0
Chilli,Black soil,57.12,6.88,21.81,167.03,67,0.697,Punjab,0
Rice,Alluvial soil,81.58,6.61,30.53,227.54,60,0.778,Haryana,128.83
Pumpkin,Alluvial soil,52.63,6.59,29.44,96.37,67.36,0.562,Karnataka,113.55
Garlic,Alluvial soil,59.22,6.57,23.31,218.45,75.4,0.765,Gujarat,0
Garlic,Red and Yellow soil,62.73,6.55,19.12,179.39,82.45,0.877,Karnataka,0
Potato,Alluvial soil,59.4,6.77,19.94,45.92,57.42,0.682,Gujarat,108.16
Soybean,Black soil,54.73,7.06,25.51,139.09,57.74,0.611,Andhra Pradesh,71.49
Lentil,Black soil,70.85,6.06,20.83,316.22,92.55,0.715,Gujarat,0
Soybean,Black soil,50.93,7.02,27.35,190.57,48.82,0.557,Andhra Pradesh,61.64
Lentil,Alluvial soil,39.13,7.57,21.13,56.11,52.67,0.566,Haryana,63.65
Onion,Alluvial soil,52.5,7.01,22.38,75.79,48.4,0.633,Gujarat,92.4
Chickpea,Red and Yellow soil,76.7,7.21,20.3,328.64,92.87,0.829,West Bengal,0
Cabbage,Forest and Mountain soil,81.7,6.82,24.13,333.44,87.94,0.819,Gujarat,0
Cauliflower,Red and Yellow soil,88.13,6.87,28.28,249.02,78.52,0.709,West Bengal,0
Garlic,Forest and Mountain soil,69.88,6.41,22.5,193.05,82.53,0.818,Haryana,0
Garlic,Alluvial soil,48.65,6.58,22.99,105.75,48.52,0.606,Bihar,85.77
Maize,Forest and Mountain soil,48.32,6.49,24.05,147.28,74.8,0.653,Bihar,101.38
Chickpea,Alluvial soil,38.48,7.28,24.05,103.54,43,0.643,Madhya Pradesh,64.27
Wheat,Black soil,52.32,7.58,15.24,54.98,55.74,0.514,Bihar,114.53
Rice,Alluvial soil,87.04,7.42,18.07,341.21,86.77,0.834,Uttar Pradesh,0
Cauliflower,Forest and Mountain soil,56.17,7.53,29.06,118.1,65.39,0.8,Madhya Pradesh,0
Maize,Alluvial soil,46.42,7.17,31.41,131.84,55.7,0.617,Madhya Pradesh,105.26
Chilli,Black soil,49.1,6.15,19.3,99.76,73.7,0.697,Punjab,24.09
Onion,Alluvial soil,60.83,6.03,22.84,139.09,72.05,0.788,Uttar Pradesh,0
Maize,Red and Yellow soil,50.52,5.61,29.84,94.2,46.62,0.613,Rajasthan,131.01
Soybean,Red and Yellow soil,55.68,7.16,27.67,141.3,66.83,0.877,Uttar Pradesh,0
Rice,Alluvial soil,75.64,6.6,26.48,87.97,60,0.766,Punjab,165.45
Lentil,Alluvial soil,57.2,7.23,26.31,170.29,70.69,0.879,Haryana,0
Cauliflower,Alluvial soil,57.75,6.49,18.05,111.98,59.17,0.633,Punjab,122.37
Rice,Forest and Mountain soil,73.33,7.31,24.76,323.32,92.02,0.89,Punjab,0
Chickpea,Black soil,76.63,7.4,19.23,294.27,84.99,0.718,Madhya Pradesh,0
Onion,Red and Yellow soil,82.17,7.32,28.35,283.07,82.99,0.715,Gujarat,0
Garlic,Black soil,55.76,7.18,25.69,77.12,64.71,0.543,Madhya Pradesh,84.74
Sugarcane,Forest and Mountain soil,63.12,6.69,31.97,83.85,72.06,0.798,Tamil Nadu,0
Chickpea,Alluvial soil,47.2,6.11,27.27,123.79,66.27,0.696,Gujarat,0
Groundnut,Red and Yellow soil,41.5,6.36,30.81,79.11,61.82,0.645,Andhra Pradesh,107.75
Wheat,Black soil,48.55,7.58,15.73,69.67,45.68,0.613,Bihar,112.89
Cucumber,Red and Yellow soil,55.28,6.35,20.12,208.16,68.76,0.686,Gujarat,0
Chilli,Black soil,52.78,6.77,23.52,86.75,70.92,0.752,Odisha,99.91
Maize,Red and Yellow soil,54.31,6.56,25.53,146.42,63.1,0.758,Karnataka,0
Cabbage,Black soil,85.93,7.46,19.35,369.02,84.15,0.809,Bihar,0
Cabbage,Forest and Mountain soil,67.28,6.26,18.42,254.1,76.51,0.748,West Bengal,0
Lentil,Alluvial soil,58.28,6.38,22.79,93.81,71.91,0.812,Karnataka,0
Maize,Forest and Mountain soil,58.98,6.71,18.68,88.56,60.83,0.737,Haryana,0
Rice,Peaty and Marshy soil,80.55,5.33,24.71,219.48,82.36,0.729,Bihar,98.07
Potato,Alluvial soil,72.37,7.45,23.91,278.05,86.23,0.701,Uttar Pradesh,0
Tomato,Black soil,92.6,7.28,23.35,255.02,85.15,0.887,Maharashtra,0
Cauliflower,Black soil,86.02,7.61,29.1,381.85,82.43,0.717,Uttar Pradesh,0
Pumpkin,Alluvial soil,68.84,6.61,28.66,148.7,79.07,0.68,Punjab,0
Wheat,Red and Yellow soil,78.68,7.35,27.87,324.52,78.14,0.815,Tamil Nadu,0
Onion,Alluvial soil,43.62,6.6,27.03,92.45,69.62,0.685,Tamil Nadu,95.43
Chilli,Red and Yellow soil,62.98,7.48,28.87,181.82,70.66,0.745,Karnataka,0
Chickpea,Black soil,40.81,7.27,24.43,43.26,58.55,0.659,Maharashtra,70.27
Mustard,Red and Yellow soil,31.34,6.5,15.67,22.67,38.74,0.535,Punjab,77.96
Garlic,Red and Yellow soil,50.12,6.22,22.65,20,52,0.546,Uttar Pradesh,116.18
